dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260CC1A1,2022-03-17T12:01:27.605902392Z,UNCONFIRMED_UP,3561,1,125000,7,4/5,903900000,-101,-101,6.5,19648.445517003536
260CC1A1,2022-03-17T12:01:47.256235299Z,UNCONFIRMED_UP,3562,1,125000,7,4/5,903900000,-103,-103,6.75,19650.332906998694
260CC1A1,2022-03-17T12:02:06.893537605Z,UNCONFIRMED_UP,3563,1,125000,7,4/5,903900000,-102,-102,6.75,19637.30230600387
260CC1A1,2022-03-17T12:02:26.533075710Z,UNCONFIRMED_UP,3564,1,125000,7,4/5,903900000,-103,-103,6.5,19639.538104996085
260CC1A1,2022-03-17T12:02:46.174269257Z,UNCONFIRMED_UP,3565,1,125000,7,4/5,903900000,-103,-103,7,19641.19354700297
260CC1A1,2022-03-17T12:03:07.314875065Z,UNCONFIRMED_UP,3566,1,125000,7,4/5,903900000,-102,-102,6.25,21140.605807997286
260CC1A1,2022-03-17T12:03:26.974596125Z,UNCONFIRMED_UP,3567,1,125000,7,4/5,903900000,-103,-103,6.75,19659.72106000036
260CC1A1,2022-03-17T12:03:46.596895371Z,UNCONFIRMED_UP,3568,1,125000,7,4/5,903900000,-103,-103,7.25,19622.299245998263
260CC1A1,2022-03-17T12:04:06.248627296Z,UNCONFIRMED_UP,3569,1,125000,7,4/5,903900000,-103,-103,7.25,19651.73192500323
260CC1A1,2022-03-17T12:04:25.888933565Z,UNCONFIRMED_UP,3570,1,125000,7,4/5,903900000,-102,-102,6.5,19640.30626899749
260CC1A1,2022-03-17T12:04:45.533732236Z,UNCONFIRMED_UP,3571,1,125000,7,4/5,903900000,-103,-103,6.5,19644.798670999706
260CC1A1,2022-03-17T12:05:06.666017880Z,UNCONFIRMED_UP,3572,1,125000,7,4/5,903900000,-101,-101,6.5,21132.28564400226
260CC1A1,2022-03-17T12:05:26.323325187Z,UNCONFIRMED_UP,3573,1,125000,7,4/5,903900000,-103,-103,6.5,19657.307306997478
260CC1A1,2022-03-17T12:05:45.961373827Z,UNCONFIRMED_UP,3574,1,125000,7,4/5,903900000,-102,-102,6.25,19638.04864000529
260CC1A1,2022-03-17T12:06:05.593827994Z,UNCONFIRMED_UP,3575,1,125000,7,4/5,903900000,-101,-101,6.5,19632.4541669935
260CC1A1,2022-03-17T12:06:25.247271685Z,UNCONFIRMED_UP,3576,1,125000,7,4/5,903900000,-103,-103,6,19653.443691000342
260CC1A1,2022-03-17T12:06:44.888794480Z,UNCONFIRMED_UP,3577,1,125000,7,4/5,903900000,-103,-103,7,19641.522795006633
260CC1A1,2022-03-17T12:07:06.032412447Z,UNCONFIRMED_UP,3578,1,125000,7,4/5,903900000,-102,-102,7,21143.617966994643
260CC1A1,2022-03-17T12:07:25.676265359Z,UNCONFIRMED_UP,3579,1,125000,7,4/5,903900000,-101,-101,6,19643.85291200131
