dev_addr,time,m_hdr_type,f_cnt,f_port,bandwidth,sf,coding_rate,frequency,rssi,channel_rssi,snr,inter_arrival_time_ms
260C96BF,2022-03-15T20:10:40.065500117Z,CONFIRMED_UP,321,1,125000,7,4/5,903900000,-67,-67,9.5,10064.121977001429
260C96BF,2022-03-15T20:10:50.134391618Z,CONFIRMED_UP,322,1,125000,7,4/5,903900000,-67,-67,9.25,10068.891500994563
260C96BF,2022-03-15T20:11:00.205917956Z,CONFIRMED_UP,323,1,125000,7,4/5,903900000,-69,-69,9,10071.526337996125
260C96BF,2022-03-15T20:11:10.275974253Z,CONFIRMED_UP,324,1,125000,7,4/5,903900000,-69,-69,10,10070.056297004223
260C96BF,2022-03-15T20:11:20.342492708Z,CONFIRMED_UP,325,1,125000,7,4/5,903900000,-69,-69,10,10066.518454998732
260C96BF,2022-03-15T20:11:30.416913035Z,CONFIRMED_UP,326,1,125000,7,4/5,903900000,-69,-69,9.25,10074.42032700777
260C96BF,2022-03-15T20:11:40.488855613Z,CONFIRMED_UP,327,1,125000,7,4/5,903900000,-67,-67,9.25,10071.94257798791
260C96BF,2022-03-15T20:11:50.552947651Z,CONFIRMED_UP,328,1,125000,7,4/5,903900000,-67,-67,8.75,10064.09203800559
260C96BF,2022-03-15T20:12:00.621201665Z,CONFIRMED_UP,329,1,125000,7,4/5,903900000,-67,-67,8.25,10068.254014000297
260C96BF,2022-03-15T20:12:10.691061493Z,CONFIRMED_UP,330,1,125000,7,4/5,903900000,-69,-69,10,10069.8598279953
260C96BF,2022-03-15T20:12:20.760329210Z,CONFIRMED_UP,331,1,125000,7,4/5,903900000,-69,-69,10,10069.267717003822
260C96BF,2022-03-15T20:12:30.839580574Z,CONFIRMED_UP,332,1,125000,7,4/5,903900000,-69,-69,10,10079.251364007592
260C96BF,2022-03-15T20:12:40.913312473Z,CONFIRMED_UP,333,1,125000,7,4/5,903900000,-67,-67,8.25,10073.731898993254
260C96BF,2022-03-15T20:12:50.940882011Z,CONFIRMED_UP,334,1,125000,7,4/5,903900000,-67,-67,8.5,10027.569537997246
260C96BF,2022-03-15T20:13:00.989825663Z,CONFIRMED_UP,335,1,125000,7,4/5,903900000,-67,-67,9,10048.943652004004
260C96BF,2022-03-15T20:13:11.051685670Z,CONFIRMED_UP,336,1,125000,7,4/5,903900000,-69,-69,9.5,10061.86000700295
260C96BF,2022-03-15T20:13:21.098653783Z,CONFIRMED_UP,337,1,125000,7,4/5,903900000,-69,-69,8.75,10046.96811299026
260C96BF,2022-03-15T20:13:31.169411246Z,CONFIRMED_UP,338,1,125000,7,4/5,903900000,-69,-69,9,10070.757463008165
260C96BF,2022-03-15T20:13:41.235032969Z,CONFIRMED_UP,339,1,125000,7,4/5,903900000,-69,-69,9.25,10065.621722996235
260C96BF,2022-03-15T20:13:51.301692593Z,CONFIRMED_UP,340,1,125000,7,4/5,903900000,-69,-69,8.75,10066.659623995423
260C96BF,2022-03-15T20:14:01.366640516Z,CONFIRMED_UP,341,1,125000,7,4/5,903900000,-69,-69,9.75,10064.947923004627
260C96BF,2022-03-15T20:14:11.435065620Z,CONFIRMED_UP,342,1,125000,7,4/5,903900000,-69,-69,9.5,10068.425104007125
260C96BF,2022-03-15T20:14:21.508586533Z,CONFIRMED_UP,343,1,125000,7,4/5,903900000,-67,-67,8.75,10073.520912989974
260C96BF,2022-03-15T20:14:31.571917624Z,CONFIRMED_UP,344,1,125000,7,4/5,903900000,-69,-69,8.75,10063.33109100163
260C96BF,2022-03-15T20:14:41.651032202Z,CONFIRMED_UP,345,1,125000,7,4/5,903900000,-69,-69,9.5,10079.114578008652
260C96BF,2022-03-15T20:14:51.715703744Z,CONFIRMED_UP,346,1,125000,7,4/5,903900000,-67,-67,9.5,10064.67154198885
260C96BF,2022-03-15T20:15:01.802231876Z,CONFIRMED_UP,347,1,125000,7,4/5,903900000,-69,-69,9,10086.528132006526
260C96BF,2022-03-15T20:15:11.851690366Z,CONFIRMED_UP,348,1,125000,7,4/5,903900000,-67,-67,9,10049.458489999175
260C96BF,2022-03-15T20:15:21.922541322Z,CONFIRMED_UP,349,1,125000,7,4/5,903900000,-67,-67,8.5,10070.850955992937
260C96BF,2022-03-15T20:15:31.992157372Z,CONFIRMED_UP,350,1,125000,7,4/5,903900000,-69,-69,8.75,10069.61605000496
260C96BF,2022-03-15T20:15:42.065261607Z,CONFIRMED_UP,351,1,125000,7,4/5,903900000,-69,-69,9.75,10073.104235008359
260C96BF,2022-03-15T20:15:52.142835371Z,CONFIRMED_UP,352,1,125000,7,4/5,903900000,-67,-67,8.75,10077.573763996363
260C96BF,2022-03-15T20:16:02.198639609Z,CONFIRMED_UP,353,1,125000,7,4/5,903900000,-69,-69,8.75,10055.804237991571
260C96BF,2022-03-15T20:16:12.275271994Z,CONFIRMED_UP,354,1,125000,7,4/5,903900000,-69,-69,8.75,10076.632385000587
260C96BF,2022-03-15T20:16:22.343446649Z,CONFIRMED_UP,355,1,125000,7,4/5,903900000,-69,-69,10,10068.174655005336
260C96BF,2022-03-15T20:16:32.423222507Z,CONFIRMED_UP,356,1,125000,7,4/5,903900000,-69,-69,10,10079.77585799992
260C96BF,2022-03-15T20:16:42.490662116Z,CONFIRMED_UP,357,1,125000,7,4/5,903900000,-69,-69,9,10067.439609006047
260C96BF,2022-03-15T20:16:52.543576709Z,CONFIRMED_UP,358,1,125000,7,4/5,903900000,-67,-67,9,10052.91459299624
260C96BF,2022-03-15T20:17:02.618816067Z,CONFIRMED_UP,359,1,125000,7,4/5,903900000,-69,-69,8.75,10075.239357993007
260C96BF,2022-03-15T20:17:12.698760851Z,CONFIRMED_UP,360,1,125000,7,4/5,903900000,-71,-71,9.5,10079.944784000516
260C96BF,2022-03-15T20:17:22.755220033Z,CONFIRMED_UP,361,1,125000,7,4/5,903900000,-69,-69,8.5,10056.459182009101
260C96BF,2022-03-15T20:17:32.835736928Z,CONFIRMED_UP,362,1,125000,7,4/5,903900000,-69,-69,9.25,10080.516894996166
260C96BF,2022-03-15T20:17:42.892025149Z,CONFIRMED_UP,363,1,125000,7,4/5,903900000,-69,-69,9.5,10056.288221001625
